segment,rank,id,score_total,polymer_specificity,capability_fit,impact,multi_objective,parameter_space,title,device_like,bio_complex,strong_polymer,workflow_candidate
top,14,https://openalex.org/W2465311659,0.4082,0.25,1.0,0.2491351619176376,0.0,0.16666666666666666,Alcoholic Photoinitiated Polymerization-Induced Self-Assembly (Photo-PISA): A Fast Route toward Poly(isobornyl acrylate)-Based Diblock Copolymer Nano-Objects,0,0,0,0
top,15,https://openalex.org/W2155503658,0.4079,0.625,0.5,0.6778587140615518,0.0,0.0,"A Mechanically Strong, Highly Stable, Thermoplastic, and Self‐Healable Supramolecular Polymer Hydrogel",0,0,1,1
middle,248,https://openalex.org/W4212772959,0.18,0.125,0.16666666666666666,0.4082203337151974,0.25,0.0,Photodecaging of a Mitochondria-Localized Iridium(III) Endoperoxide Complex for Two-Photon Photoactivated Therapy under Hypoxia,0,1,0,0
middle,249,https://openalex.org/W2536633018,0.1794,0.375,0.16666666666666666,0.23768508624413784,0.0,0.0,Dihydroxyanthraquinone derivatives: natural dyes as blue-light-sensitive versatile photoinitiators of photopolymerization,0,0,0,0
middle,250,https://openalex.org/W3160437579,0.1783,0.375,0.16666666666666666,0.2304749421602804,0.0,0.0,Efficient 3D printing via photooxidation of ketocoumarin based photopolymerization,0,0,0,0
middle,251,https://openalex.org/W2612281296,0.1771,0.0,0.5,0.18045385435076847,0.0,0.0,Regioselective Synthesis of 2-Substituted Indoles from Benzotriazoles and Alkynes by Photoinitiated Denitrogenation,0,1,0,0
middle,252,https://openalex.org/W2491762336,0.1765,0.25,0.0,0.760136181237238,0.0,0.0,Self‐Healing Hydrogels,0,1,0,0
middle,253,https://openalex.org/W3173021132,0.1764,0.375,0.16666666666666666,0.21782666008095408,0.0,0.0,Organic dye‐based photoinitiating systems for visible‐light‐induced photopolymerization,1,1,0,0
middle,254,https://openalex.org/W2123971331,0.1762,0.125,0.16666666666666666,0.6330483540425195,0.0,0.0,Novel Biocompatible Polysaccharide‐Based Self‐Healing Hydrogel,0,1,0,0
middle,255,https://openalex.org/W2225996463,0.1762,0.375,0.0,0.29971835910349337,0.25,0.0,Hollow and Core–Shell Microgels at Oil–Water Interfaces: Spreading of Soft Particles Reduces the Compressibility of the Monolayer,0,0,0,0
middle,256,https://openalex.org/W2889784985,0.1759,0.25,0.0,0.7004821396840999,0.0,0.16666666666666666,Synthetic Polymer Contamination in Bottled Water,1,0,0,0
middle,257,https://openalex.org/W2299133078,0.1753,0.0,0.16666666666666666,0.835324679198443,0.0,0.0,CO<sub>2</sub> photo-reduction: insights into CO<sub>2</sub> activation and reaction on surfaces of photocatalysts,0,0,0,0
middle,258,https://openalex.org/W2768023263,0.1752,0.375,0.16666666666666666,0.20982069805299342,0.0,0.0,Scanning wave photopolymerization enables dye-free alignment patterning of liquid crystals,0,0,0,0
middle,259,https://openalex.org/W2799704254,0.1749,0.0,0.16666666666666666,0.5827214166740283,0.25,0.0,Review on nanoscale Bi-based photocatalysts,0,0,0,0
middle,260,https://openalex.org/W2916546675,0.1735,0.0,0.3333333333333333,0.4898871011373444,0.0,0.0,Catalyst‐Free Deaminative Functionalizations of Primary Amines by Photoinduced Single‐Electron Transfer,0,0,0,0
middle,261,https://openalex.org/W2994617871,0.1719,0.5,0.0,0.3129508533326041,0.0,0.0,Designing Microgels for Cell Culture and Controlled Assembly of Tissue Microenvironments,1,1,1,0
middle,262,https://openalex.org/W2794942920,0.171,0.0,0.16666666666666666,0.8066644091398912,0.0,0.0,CdS-Based photocatalysts,1,1,0,0
bottom,494,https://openalex.org/W3027270675,0.036,0.0,0.0,0.2400299610846437,0.0,0.0,A monocomponent bifunctional benzophenone–carbazole type II photoinitiator for LED photoinitiating systems,1,0,0,0
bottom,495,https://openalex.org/W3008948767,0.036,0.0,0.0,0.2400299610846437,0.0,0.0,<i>In silico</i> rational design by molecular modeling of new ketones as photoinitiators in three-component photoinitiating systems: application in 3D printing,0,0,0,0
bottom,496,https://openalex.org/W2731136292,0.0357,0.0,0.0,0.23768508624413784,0.0,0.0,Novel photoacid generators for cationic photopolymerization,0,0,0,0
bottom,497,https://openalex.org/W2409437046,0.0306,0.0,0.0,0.20429318470383737,0.0,0.0,Extrusion-based additive manufacturing of ZrO2 using photoinitiated polymerization,0,0,0,0
bottom,498,https://openalex.org/W3127486923,0.0302,0.0,0.0,0.20146904979151412,0.0,0.0,Design of photoinitiating systems based on the chalcone-anthracene scaffold for LED cationic photopolymerization and application in 3D printing,1,1,0,0
bottom,499,https://openalex.org/W2035213692,0.0294,0.0,0.0,0.19569399986890487,0.0,0.0,Photoactivated Polycationic Bioactive Chitosan Nanoparticles Inactivate Bacterial Endotoxins,0,0,0,0
bottom,500,https://openalex.org/W2110959267,0.0294,0.0,0.0,0.19569399986890487,0.0,0.0,Evaluation of cell responses toward adhesives with different photoinitiating systems,0,1,0,0
bottom,501,https://openalex.org/W2765792264,0.0261,0.0,0.0,0.17400493032533293,0.0,0.0,Photopolymerization of hybrid monomers,0,0,0,0
bottom,502,https://openalex.org/W2993878770,0.0251,0.0,0.0,0.16733358626302605,0.0,0.0,Sustained release of growth factors from photoactivated platelet rich plasma (PRP),0,0,0,0
bottom,503,https://openalex.org/W1945016807,0.0224,0.0,0.0,0.1495734336928835,0.0,0.0,Photoactivated acidochromic elastomeric films for on demand acidic vapor sensing,0,0,0,0
bottom,504,https://openalex.org/W3127607714,0.0219,0.0,0.0,0.14581700875563333,0.0,0.0,Recent advances on ferrocene-based photoinitiating systems,0,0,0,0
bottom,505,https://openalex.org/W3170071945,0.0219,0.0,0.0,0.14581700875563333,0.0,0.0,New horizons for carbon dots: quantum nano-photoinitiating catalysts for cationic photopolymerization and three-dimensional (3D) printing under visible light,0,0,0,0
bottom,506,https://openalex.org/W2619370794,0.0182,0.0,0.0,0.12160422306310925,0.0,0.0,Antibacterial and antioxidant photoinitiated epoxy co-networks of resorcinol and eugenol derivatives,0,0,0,0
bottom,507,https://openalex.org/W2277335037,0.0169,0.0,0.0,0.11280953562865911,0.0,0.0,Excimers and Exciplexes in Photoinitiated Processes of Oligonucleotides,0,0,0,0
bottom,508,https://openalex.org/W254375463,0.0109,0.0,0.0,0.07298749572796345,0.0,0.0,Difunctional monomeric and polymeric photoinitiators: Synthesis and photoinitiating behaviors,0,0,0,0
